ranking,dist_class,size_class,dist,size,status,taxon,state,user_category,user_login,taxon_species_name,taxon_group,latitude,longitude,size_scaled,dist_scaled,log_dist,growth
6,wide,medium,19,68,LC,Reptilia,Maldonado,expert,mattzarrr,Phalotris lemniscatus,tetrapods,-34.91115868,-54.96898878,0.444941714741859,0.4292554344470148,2.9444389791664403,NA
263,wide,small,19,13,LC,Aves,Canelones,beginner,maria2622,Poospiza nigrorufa,tetrapods,-34.7892795581,-55.5372012779,-0.4490866917010194,0.4292554344470148,2.9444389791664403,NA
263,wide,small,19,17,LC,Aves,Canelones,beginner,maria2622,Paroaria coronata,tetrapods,-34.7892795581,-55.5372012779,-0.3840664439597191,0.4292554344470148,2.9444389791664403,NA
263,wide,small,17,15,LC,Aves,Canelones,beginner,maria2622,Stilpnia preciosa,tetrapods,-34.7892795581,-55.5372012779,-0.4165765678303692,-0.018206576726562233,2.833213344056216,NA
263,wide,small,19,18,LC,Aves,Canelones,beginner,maria2622,Stephanophorus diadematus,tetrapods,-34.7892795581,-55.5372012779,-0.36781138202439406,0.4292554344470148,2.9444389791664403,NA
263,wide,medium,19,36,LC,Aves,Canelones,beginner,maria2622,Aramides cajaneus,tetrapods,-34.7892795581,-55.5372012779,-0.07522026718854295,0.4292554344470148,2.9444389791664403,NA
1,wide,medium,19,25,LC,Aves,Río Negro,expert,santiagomailhos,Mimus saturninus,tetrapods,-32.5291704088,-58.0377236003,-0.2540259484771186,0.4292554344470148,2.9444389791664403,NA
1,wide,medium,19,27,LC,Aves,Río Negro,expert,santiagomailhos,Myiopsitta monachus,tetrapods,-32.5288555087,-58.0378381549,-0.22151582460646851,0.4292554344470148,2.9444389791664403,NA
54,medium,medium,8,35,LC,Aves,Maldonado,intermediate,andresferz,Haematopus palliatus,tetrapods,-34.9169966667,-54.8497666667,-0.09147532912386802,-2.031785627007659,2.0794415416798357,NA
54,wide,large,19,63,LC,Aves,Maldonado,intermediate,andresferz,Nannopterum brasilianum,tetrapods,-34.9181866667,-54.8515783333,0.36366640506523373,0.4292554344470148,2.9444389791664403,NA
